0 82.4724 1283.23
1 82.9085 1280.42
2 82.3359 1281.23
3 83.1109 1290.77
4 82.7626 1286.13
5 82.8107 1280.49
6 82.5986 1281.32
7 82.7626 1288.45
8 82.7246 1282.32
9 82.5581 1246.51
10 81.4469 1234.54
11 81.2975 1230.27
12 81.3777 1232.34
13 81.0274 1232.92
14 82.7526 1271.78
15 83.0814 1272.67
16 82.9070 1272.09
17 82.5480 1272.83
18 81.4361 1239.35
19 81.3668 1243.57
20 81.4252 1243.57
21 82.2054 1259.04
22 82.2054 1263.71
23 82.0782 1260.36
24 81.7386 1246.21
25 81.9404 1250.15
26 81.6803 1254.38
27 81.7066 1246.05
28 81.8129 1236.84
29 81.9609 1254.67
